"last_name, first_name","player_id","year","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","p_era","p_opp_batting_avg","p_opp_on_base_avg","p_total_stolen_base","p_pickoff_attempt_1b","p_pickoff_attempt_2b","p_pickoff_attempt_3b","p_pickoff_1b","p_pickoff_2b","p_pickoff_3b","p_out_fly","p_out_ground","p_out_line_drive","p_passed_ball","p_swinging_strike","p_total_pickoff","p_total_pickoff_attempt","p_total_pickoff_error","barrel_batted_rate","solidcontact_percent","poorlyweak_percent","hard_hit_percent","z_swing_percent","z_swing_miss_percent","oz_swing_miss_percent","oz_contact_percent","out_zone_percent","meatball_swing_percent","iz_contact_percent","in_zone_swing_miss","in_zone_percent","edge_percent","whiff_percent","swing_percent","pull_percent","straightaway_percent","opposite_percent","groundballs_percent","flyballs_percent","linedrives_percent","popups_percent","pitch_hand","arm_angle","n_ff_formatted","ff_avg_speed","ff_avg_spin","ff_avg_break_x","ff_avg_break_z","ff_avg_break_z_induced","ff_avg_break","ff_range_speed","n_sl_formatted","sl_avg_speed","sl_avg_spin","sl_avg_break_x","sl_avg_break_z","sl_avg_break_z_induced","sl_avg_break","sl_range_speed","n_ch_formatted","ch_avg_speed","ch_avg_spin","ch_avg_break_x","ch_avg_break_z","ch_avg_break_z_induced","ch_avg_break","ch_range_speed","n_cu_formatted","cu_avg_speed","cu_avg_spin","cu_avg_break_x","cu_avg_break_z","cu_avg_break_z_induced","cu_avg_break","cu_range_speed","n_si_formatted","si_avg_speed","si_avg_spin","si_avg_break_x","si_avg_break_z","si_avg_break_z_induced","si_avg_break","si_range_speed","n_fc_formatted","fc_avg_speed","fc_avg_spin","fc_avg_break_x","fc_avg_break_z","fc_avg_break_z_induced","fc_avg_break","fc_range_speed","n_fs_formatted","fs_avg_speed","fs_avg_spin","fs_avg_break_x","fs_avg_break_z","fs_avg_break_z_induced","fs_avg_break","fs_range_speed","n_kn_formatted","kn_avg_speed","kn_avg_spin","kn_avg_break_x","kn_avg_break_z","kn_avg_break_z_induced","kn_avg_break","kn_range_speed","n_st_formatted","st_avg_speed","st_avg_spin","st_avg_break_x","st_avg_break_z","st_avg_break_z_induced","st_avg_break","st_range_speed","n_sv_formatted","sv_avg_speed","sv_avg_spin","sv_avg_break_x","sv_avg_break_z","sv_avg_break_z_induced","sv_avg_break","sv_range_speed","n_fo_formatted","fo_avg_speed","fo_avg_spin","fo_avg_break_x","fo_avg_break_z","fo_avg_break_z_induced","fo_avg_break","fo_range_speed","n_sc_formatted","sc_avg_speed","sc_avg_spin","sc_avg_break_x","sc_avg_break_z","sc_avg_break_z_induced","sc_avg_break","sc_range_speed","n_fastball_formatted","fastball_avg_speed","fastball_avg_spin","fastball_avg_break_x","fastball_avg_break_z","fastball_avg_break_z_induced","fastball_avg_break","fastball_range_speed","n_breaking_formatted","breaking_avg_speed","breaking_avg_spin","breaking_avg_break_x","breaking_avg_break_z","breaking_avg_break_z_induced","breaking_avg_break","breaking_range_speed","n_offspeed_formatted","offspeed_avg_speed","offspeed_avg_spin","offspeed_avg_break_x","offspeed_avg_break_z","offspeed_avg_break_z_induced","offspeed_avg_break","offspeed_range_speed"
"Severino, Luis",622663,2025,17.2,8.2,".250",".375",".317","4.70",,,"2","10","0","0","1","0","0","28","58","22","0","60","1","10","0",4.7,8.8,4.1,43.3,69.3,13.7,28.7,71.3,48.2,79.3,86,43,51.8,44.2,17.5,48.3,35.1,40.4,24.6,41.5,21.6,31,5.8,"R",39.9,"26.1","95.9","2233","-6.9","-13.8","16.2","17.8","1.5","4.3","86.8","2430","6.4","-32.1","4.3","8.5","1.5","5.3","86","1639","-14.4","-31.4","5.8","16.1","1.6",,,,,,,,,"25.4","95.5","2092","-14.1","-18.2","12","18.6","1.5","16.1","92.8","2288","-0.1","-24","7.9","8.3","1.5",,,,,,,,,,,,,,,,,"22.8","85.1","2495","15.1","-35","3","15.8","1.6",,,,,,,,,,,,,,,,,,,,,,,,,"67.6","95","2193","-8","-17.9","12.6","15.8","2","27.1","85.4","2485","13.7","-34.6","3.2","14.7","1.7","5.3","86","1639","-14.4","-31.4","5.8","16.1","1.6"
"Cannon, Jonathan",686563,2025,18,7.8,".259",".411",".327","3.60",,,"3","18","0","0","0","0","0","38","46","9","0","70","0","18","0",8.9,7,5.7,41.1,68.5,13.7,35,62.1,48.4,77.8,85.3,40,51.6,44.4,19.2,47.8,43,34.2,22.8,41.8,31,18.4,8.9,"R",26.4,"15.7","93.6","2230","-8.7","-15.9","15.5","17.8","1.3",,,,,,,,,"22.5","85.4","1773","-15.9","-36.5","1.4","16.2","1.3",,,,,,,,,"22.6","93","2140","-15.6","-26.9","4.8","16.4","1.2","24.2","89.2","2306","0.5","-24.5","9.8","10","1.4",,,,,,,,,,,,,,,,,"14.9","81.1","2620","16.2","-38.6","3.3","16.7","1.3",,,,,,,,,,,,,,,,,,,,,,,,,"62.6","91.7","2227","-7.6","-23.2","9.4","14.3","2.5","14.9","81.1","2620","16.2","-38.6","3.3","16.7","1.3","22.5","85.4","1773","-15.9","-36.5","1.4","16.2","1.3"
"Brown, Ben",676962,2025,26.2,8.4,".287",".398",".356","4.75",,,"1","8","2","0","0","0","0","21","34","8","0","73","0","10","0",7.4,8.2,0.8,43.4,62.5,15.1,60.2,38.7,46.4,76.2,84.9,37,53.6,40.8,27.5,46.2,34.4,41,24.6,43.4,24.6,25.4,6.6,"R",45.5,"59.4","95.3","2202","-7","-13","17.3","18.8","1.2",,,,,,,,,"2.3","90.8","1533","-13.1","-23.2","10.2","16.9","1.6","38.3","86.2","2321","3.3","-40.3","-3.5","5.2","1.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"59.4","95.3","2202","-7","-13","17.3","18.8","1.2","38.3","86.2","2321","3.3","-40.3","-3.5","5.2","1.9","2.3","90.8","1533","-13.1","-23.2","10.2","16.9","1.6"
"Francis, Bowden",670102,2025,17,6.3,".275",".537",".324","5.40",,,"0","5","0","0","0","0","0","24","39","8","0","53","0","5","0",12,6,6.8,50.4,68.6,14.8,41.7,58.3,47.4,76.3,84.8,36,52.6,42.9,21,46.8,51.9,25.6,22.6,35.3,30.1,23.3,11.3,"R",39.8,"56","92.3","2233","-7.2","-13.8","18.7","20.1","1.4","4.2","81.8","2381","5.5","-41.4","-0.4","6.6","1.4",,,,,,,,,"14.6","73.2","2167","16","-58.9","-7.2","17.7","1.3","1.6","91.6","2266","-11.9","-15.3","17.8","21.4","1.4",,,,,,,,,"23.6","81.9","1069","-10","-34.6","6.3","12.3","1.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"57.7","92.3","2234","-7.4","-13.8","18.6","20.2","1.4","18.7","75.1","2214","13.7","-55","-5.7","15.2","3.6","23.6","81.9","1069","-10","-34.6","6.3","12.3","1.4"
"Holmes, Grant",656550,2025,23.7,11.3,".204",".395",".296","4.14",,,"0","9","0","0","0","0","0","23","47","13","0","73","0","9","0",13.3,4.2,2.5,45,68.8,15.3,50,50,49.6,80.4,84.7,40,50.4,42.1,24.7,47.7,40.8,40,19.2,47.5,28.3,22.5,1.7,"R",38.3,"39.9","94.4","2319","-5.4","-15.6","15.2","16.2","1.2","31.7","85.2","2844","3.3","-41","-3.4","5.3","1.2","2.1","90.1","1474","-13.2","-33.3","0.5","13.4","1.4","16.7","83.4","2904","4.8","-50.1","-10.7","11.9","1.2","0.5","93.2","2420","-8","-24.1","7.5","11","1.5","9.1","92.2","2570","0","-23.3","8.8","9.1","1.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"49.5","93.9","2366","-4.4","-17.1","13.9","14.8","1.5","48.3","84.6","2865","3.8","-44.2","-5.9","7.6","1.5","2.1","90.1","1474","-13.2","-33.3","0.5","13.4","1.4"
"Hicks, Jordan",663855,2025,20.3,7.9,".293",".425",".361","6.55",,,"2","16","0","0","1","0","0","14","60","8","0","70","1","16","0",5,3.5,4.3,45.4,63.1,15.2,52.3,47.7,46.9,74.1,84,39,53.1,43.2,24.5,44.7,37.6,35.5,27,59.6,17,19.9,3.5,"R",33.7,"8","97","2128","-9.7","-15.9","13.3","16.5","1.6",,,,,,,,,,,,,,,,,,,,,,,,,"53.7","97.2","1941","-16.3","-22.2","6.9","17.8","2.1",,,,,,,,,"6.3","88.9","884","-9.4","-34.1","0.6","10.5","1.8",,,,,,,,,"32.1","82.2","2305","10.6","-38.4","2.2","11.2","2",,,,,,,,,,,,,,,,,,,,,,,,,"61.7","97.2","1965","-15.4","-21.4","7.7","17.7","2","32.1","82.2","2305","10.6","-38.4","2.2","11.2","2","6.3","88.9","884","-9.4","-34.1","0.6","10.5","1.8"
"Falter, Bailey",663559,2025,17.9,9.5,".234",".389",".307","4.02",,,"4","7","0","0","2","0","0","30","38","9","0","53","2","7","0",8.8,5.8,2.9,46,63.5,13.1,35.7,64.3,48,79.7,85.7,32,52,45.3,18.9,44.4,38.7,33.6,27.7,38,28.5,20.4,13.1,"L",54.5,"41.3","91.8","2081","3.2","-13.7","19","19.3","1.3","20.7","85.1","2012","-4.5","-31.1","6.7","8.5","1.6",,,,,,,,,"15.2","77.3","1840","-3.6","-48.7","-2.8","4.9","1.9","19.4","91.7","2050","7.6","-14.4","18.3","19.9","1.3",,,,,,,,,"3.5","85.7","1100","2.9","-24.2","13.2","13.8","1.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"60.6","91.8","2071","4.6","-13.9","18.8","19.5","1.3","35.9","81.8","1940","-4.1","-38.5","2.7","7","4.4","3.5","85.7","1100","2.9","-24.2","13.2","13.8","1.6"
"Mlodzinski, Carmen",669387,2025,16,6.8,".300",".453",".352","5.20",,,"2","8","0","0","0","0","0","19","37","14","1","49","0","8","0",8.1,4,2.4,42.7,63.4,12.8,40.3,59.7,47.4,77.6,86.7,26,52.6,43.1,20,45.2,43.5,26.6,29.8,42.7,21,29,7.3,"R",25.8,"36","95.4","2100","-9.3","-18.9","11.3","14.8","1.1","23","88","2472","3","-32.7","2.5","4.4","1.5","9.2","87.2","1678","-8.9","-35.9","0.1","9.5","1.2",,,,,,,,,"12.3","94.7","2076","-17.5","-25.7","4.9","18.3","1.2","1","94.4","2236","-3","-21.7","8.9","9.7","1.6",,,,,,,,,,,,,,,,,"18.4","83.6","2537","9.4","-34.4","4.9","11.2","1.2",,,,,,,,,,,,,,,,,,,,,,,,,"49.3","95.2","2096","-11.2","-20.6","9.7","15.6","1.2","41.4","86.1","2501","5.8","-33.5","3.5","7.4","2.7","9.2","87.2","1678","-8.9","-35.9","0.1","9.5","1.2"
"Valdez, Framber",664285,2025,22.7,8,".228",".371",".299","3.54",,,"5","6","0","0","0","0","0","17","67","17","0","82","0","6","0",8.5,2.6,3.9,45.8,65,12.6,57,43,48.1,77.6,87,35,51.9,44.6,25.6,47.6,41.2,34.6,24.2,58.8,15,22.9,3.3,"L",41.7,"1.2","93.6","2244","8.2","-20.7","10.6","13.6","1.6","4.5","84.3","2546","-4","-41.2","-2.7","5.7","1.5","16.4","89.2","1682","14.4","-34.7","0","14.6","1.9","30.9","79.1","2953","-13.4","-59.2","-14.8","20","1.7","46.9","93.9","2185","16.5","-24.7","6.6","17.9","1.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"48.1","93.9","2187","16.3","-24.6","6.7","17.8","1.9","35.4","79.8","2902","-12.2","-56.9","-13.3","18.2","2.5","16.4","89.2","1682","14.4","-34.7","0","14.6","1.9"
"Martin, Davis",663436,2025,15.7,5.7,".285",".466",".333","3.65",,,"3","25","2","0","0","0","0","26","60","10","0","66","0","27","0",10.5,6.2,2.5,47.5,67.7,9.5,45,55,48.9,79.7,90.1,26,51.1,41.1,19.8,48.7,45.7,34,20.4,46.3,20.4,27.8,5.6,"R",40.4,"29.3","93.5","2399","-4.9","-16.1","15.4","16.4","1.7","14.7","83.8","2716","9.2","-37.1","2","9.7","1.8","24.1","90","2010","-13.4","-32.8","1.2","13.8","1.5","2.4","77.7","2726","15","-54.8","-9.1","17.7","1.5","7.5","92.3","2362","-15.3","-22.5","9.9","18.3","1.7","22","88.9","2590","1.2","-28.7","6","6.9","1.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"58.8","91.6","2466","-4","-21.6","11.2","13.1","2.9","17.1","83","2717","10","-39.6","0.4","10.9","2.7","24.1","90","2010","-13.4","-32.8","1.2","13.8","1.5"
